Quantidade | Indice
42         | 17439
42         | 18401
42         | 22051
42         | 22172
42         | 27105
42         | 28009
42         | 31996
42         | 37962
42         | 38846
42         | 40149
42         | 42203
42         | 43038
42         | 43270
42         | 43291
42         | 43318
42         | 44303
42         | 46052
42         | 46576
42         | 46899
42         | 47705
42         | 48274
42         | 48461
42         | 49512
42         | 50958
42         | 50978
42         | 53227
42         | 54126
42         | 56365
42         | 58287
42         | 59129
42         | 59757
42         | 60292
42         | 60323
42         | 61133
41         | 3272
41         | 4382
41         | 6040
41         | 6445
41         | 7676
41         | 9555
41         | 10264
41         | 13931
41         | 17402
41         | 20078
41         | 21787
41         | 22299
41         | 23784
41         | 25459
41         | 26178
41         | 30344
41         | 33955
41         | 34468
41         | 39574
41         | 41296
41         | 46836
41         | 47711
41         | 47833
41         | 48201
41         | 50497
41         | 51519
41         | 51825
41         | 58476
41         | 60264
41         | 60338
41         | 60545
41         | 61243
40         | 918
40         | 2870
40         | 3827
40         | 6081
40         | 7107
40         | 7984
40         | 15915
40         | 17560
40         | 17868
40         | 21477
40         | 22732
40         | 25623
40         | 32652
40         | 32808
40         | 33826
40         | 35589
40         | 45141
40         | 45737
40         | 48379
40         | 49831
40         | 51910
40         | 52628
40         | 53507
40         | 55598
40         | 57958
40         | 59102
40         | 60165
40         | 61070
39         | 5237
39         | 5258
39         | 7055
39         | 7649
39         | 9546
39         | 9920
39         | 20141
39         | 20152
39         | 21221
39         | 23543
39         | 25317
39         | 32229
39         | 33325
39         | 33884
39         | 34435
39         | 36063
39         | 38802
39         | 39709
39         | 43741
39         | 44518
39         | 45026
39         | 45165
39         | 45704
39         | 48781
39         | 50397
39         | 51995
39         | 52149
39         | 53206
39         | 54441
39         | 54830
39         | 55099
39         | 56285
39         | 59276
38         | 5734
38         | 7265
38         | 10460
38         | 13415
38         | 15332
38         | 18907
38         | 20396
38         | 21447
38         | 22287
38         | 24209
38         | 25010
38         | 26803
38         | 26939
38         | 27485
38         | 30215
38         | 31827
38         | 31971
38         | 39125
38         | 39729
38         | 40763
38         | 43256
38         | 44120
38         | 44565
38         | 44623
38         | 45034
38         | 49399
